word,word_type,meaning,examples
a priori,,"""from the earlier"" / ahead of time
knowledge that is justified independently of experience
The distinction between a priori and a posteriori corresponds to the distinction between empirical and non-empirical knowledge","""It's freezing outside; you must be cold"" is an example of a priori reasoning."
aberrant,,"diverging from the normal type
generally used in a negative way","She is normally calm and level headed, so this outburst is an aberration."
abrogate,,"to officially revoke, cancel or abolish
the Latin root is made up of the prefix ""ab"" - away and ""rogare"" - to propose a law",
abstruse,,"difficult to understand, deep and intellectually challenging, especially if someone is deliberately making a story or a situation more complicated than necessary.
from the Latin roots about concealing or hiding something
it sounds and looks like obtuse, but abstruse is almost its opposite: Obtuse is dull or lacking a sharpness of intellect",
accretion,,an accumulation that causes increase,"Although you may say that stalactites grow from the ceilings of caves, they actually form from an accretion of limestone and other minerals.
An accretion of frost on the windows.
An accretion of plaque on your teeth."
acrid,,"an unpleasant smell, tone of voice, look, taste, etc.
use acrid to describe someone's demeanor when they are being nasty",
acuity,,"to hear, see, or think accurately and clearly",He was a man of great political acuity.
ad libitum,,"ad lib, without advance preparation",
adjunct,noun,"1. an addition, accompaniment, companion
2. a word or phrase that constitutes an optional element","1. Computer technology is an adjunct to learning.
2. In the sentence 'John helped Bill in Central Park', the phrase 'in Central Park' is an adjunct."
adumbrate,,"1: to outline
2: to foreshadow
from the Latin umbra - ""shade"", adumbrate - ""foreshadow""","1: In an English essay, you adumbrate the themes in a novel.
2: The scene where the princess dreams of the vampire adumbrates her later discovery that her little brother is, in fact, a vampire."
adumbrate,verb,to outline or sketch broadly; to foreshadow or prefigure; to disclose partially.,The speech adumbrated the government's future policies without revealing any specifics.
advent,noun,the introduction of something important,"""The twentieth century saw the advent of many important inventions - including television, computers, and microwave dinners."""
aegis,noun,"to be under the aegis of an organization is to be sponsored or protected by them
from the Greek Aigis- the name of Zeus’s shield",
aesthete,noun,"someone who claims to be concerned only with matters of art and beauty
the Greeks considered an aisthētḗs as ""one who feels""",
aesthetic,adjective,"from a Greek word meaning ""perception"", the word comes to us from German philosophers who used it for a theory of the beautiful. It came to refer to good taste and to artistry in general; if something has ""aesthetic value"" it has value as a work of art (even if nobody will pay much for it). It does not, however, refer to the objects themselves; do not talk about an ""aesthetic painting""",
aggregate,,to collect many into one,
agronomist,,an expert in soil management and field-crop production,
amity,,friendly relations,The presence of French troops in Scotland had produced hostility rather than amity.
analgesic,noun/adj,"a medicine that takes away physical pain
As a noun, analgesic is the actual medicine, and as an adjective, it describes the effect of the medicine: ",This pill has an analgesic effect.
analogy,,a comparison of the features or qualities of two different things to show their similarities,The stock market recorded a 0.4% annual increase that was roughly analogous to results in the late 1960s.
anathema,noun,something really hated,
anathematize,verb,"declare your hatred, utterly condemn
root word is the Greek anathematizein- ""denote something to be evil""","If you've decided that your math teacher is just plain evil, you might anathematize him."
anchorite,,"a religious recluse, hermit",
anent,preposition,"concerning, about",I'll say a few words anent the letter.
animus,,"1, hate, animosity, bad feelings
2, a motivating force",The fear of infection is the animus behind a movement to sterilize public buildings.
anodyne,,"bland, inoffensive, innocuous, neutral, unobjectionable, unexceptionable, unremarkable, commonplace, dull, tedious
also a painkilling drug or medicine","She tried to keep the conversation as anodyne as possible.
Somehow this avoids being just another silly pop song with anodyne lyrics about love and happiness."
anomalous,,deviating from the general or common order,"Advanced forms of life may be anomalous in the universe.
The recent discovery of ice, and therefore water, on the moon, was anomalous to all previous ideas that the moon was lifeless."
anomie,,"a lack of moral standards, or a sense of lawlessness, or a sense of anxitety because there doesn't seem to be anyone keeping order
from the Greek anomos meaning ""lawless""","In the novel The Stranger by Albert Camus, the narrator doesn't react like a normal person. When his mother dies and he is put on trial for murdering a man, he responds in an oddly numb way, expressing a sense of anomie."
antebellum,,before the American Civil War,
antediluvian,,"""before the flood"", though the word is used more humorously to describe something really, really old",
antipode,,"1. specific points on the Earth that are directly opposite each other
2. also use this word figuratively to describe opposites","1. Hong Kong and La Quiaca, Argentina are examples of antipodes.
2. My brother and I are total antipodes; he's sporty, and I'm a bookworm."
apanthropy,,"an aversion to human company; a love of solitude, misanthropy",
aperçu,,"a witty comment, clever anecdote, or brief reference that makes an illuminating or entertaining point",He is so fun at parties because he always comes up with such brilliant apercus.
apocrypha,,biblical or related writings not forming part of the accepted canon of scripture,
apocryphal,,"tales told as if they're true, but no one can ever verify their origins or authenticity
originally, apocryphal meant religious writings that were not included in the Torah or the New Testament of the Bible because the divinity of the texts was not certain. These texts are known as the Apocrypha and are included in the Septuagint (a Greek version of the Hebrew Bible) and the Vulgate (a Latin Bible edited in the 4th century)",
apostasy,,"the state of having rejected your religious beliefs, political party or cause (often in favor of opposing beliefs or causes)",
apotheosis,,"the perfect form or example of something, the highest or best part, the peak","She is the apotheosis of Hollywood glamour.
The city reaches its apotheosis at the holiday."
apotropaic,,"having the power to prevent evil or bad luck
""ap-pro-toe-PAY-ic""",
apposite,adj,"something fitting or relevant; well-placed or well-put
don't confuse apposite with opposite; they have opposite meanings!","It is apposite that radio stations play Christmas carols on Christmas Eve.
The successful copywriter is a master of apposite and evocative verbal images."
apposition,noun,two appropriate things right next to each other,
appurtenance,noun,"an accessory, not an integral part",The appurtenances of consumer culture.
arcane,,"understood or known by only a few people, esoteric
the origin is Latin ""arcānus"" - secret or closed, from arca - a chest, box",
archipelago,,"a group of many islands
from the Italian Arciplago - the name for the Aegean Sea, which is full of many many islands",
ardent,,"to be passionate about something. One can either ardently support or oppose something
from Latin ardere - ""to burn""",
argot,,"a kind of slang, technical language or code","Any specialized practice can create an argot: boxers talk of bodyshots and jabs, just as grammar teachers complain of split infinitives and dangling participles."
ascetic,noun / adjective,"noun: a person with incredible self-discipline and the ability to deprive herself, or adjective: describes such a person or their lifestyle
from the Greek asketes - “monk” or “hermit”. Later became asketikos- “rigorously self-disciplined” which gives us the Modern English ascetic",Be systematically ascetic: Do something for no other reason than that you would rather not do it. - William James
asinine,,foolish or stupid,an asinine comment
asperity,,"1, harshness of manner
2, something hard to endure",The asperities of life in a bomb shelter.
assay,verb,"the act of analyzing, of conducting that test: examining the individual parts that make up the whole
from the French essai - ""trial""","When you assay a situation, you look at all the elements that created the problem in order to come up with a solution."
assay,noun,a test (or appraisal) to determine the components of a substance or object,
assiduity,noun,"great and constant diligence and attention
from the Latin assiduatem for ""continual presence""",
assiduously,adverb,"done with care, dedication, diligence, thoroughness, precision
from the Latin assiduus which means ""busy, incessant, continual, or constant""",Librarians shelf books assiduously.
atavistic,,"happening because of a habit formed a long time ago, not because of a conscious decision or because it is necessary","Atavistic fears and instincts.
An atavistic fear of the dark."
atelic,adjective,pertaining to an action or activity that is not directed toward a goal or endpoint.,"The narrative of the film was atelic, focusing more on the journey than the destination."
atomistic,,divided into separate and often disparate elements,
attenuate,,to make or become weaker,"The effects of aging may be attenuated by exercise.
This tanning process tends to attenuate the deer hide, making it softer.
Even an attenuated solution will remove the stain.
The rain attenuated, ending the storm."
aureate,,highly ornamented or elaborate,"""The aureate diction frequently conceals the tritest sentiments."""
autarky,,"""or-tar-key""
the characteristic of self-sufficiency
usually applies to political states, societies or to their economic systems",Autarky exists whenever an entity survives or continues its activities without external assistance or international trade.
autocracy,,"a government controlled by one person with absolute power
from the Greek roots auto - ""self"" and kratos - ""power""","If your boss dictates your every move and leaves you no say at all in how you do your work, then you're not in a democratic workplace, you're in an autocracy."
